index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
845;Rio de Janeiro;0206006 ESCOLA MUNICIPAL SANTOS ANJOS; true;false; true;false;true;true;false;true;false;true;false;0;33065640;Municipal;5,8
846;Rio de Janeiro;0206016 ESCOLA MUNICIPAL JULIO DE CASTILHOS;false;false;false;false;false;true;false;true;false;true;false;0;33065713;Municipal;6,3
847;Rio de Janeiro;0206008 ESCOLA MUNICIPAL PEDRO ERNESTO;false; true; true;false;true;true;false;true;true;true;true;0;33065780;Municipal;6,4
848;Rio de Janeiro;0107013 ESCOLA MUNICIPAL ALICE DO AMARAL PEIXOTO; true;false; true;false;false;true;false;true;false;false;false;0;33066205;Municipal;5
849;Rio de Janeiro;0107501 ESCOLA MUNICIPAL EDMUNDO BITTENCOURT; true;false; true; true;true;true;false;false;false;false;false;0;33066248;Municipal;5,8
850;Rio de Janeiro;0107004 ESCOLA MUNICIPAL FLORIANO PEIXOTO; true;false; true;false;false;true;false;true;false;true;true;0;33066256;Municipal;5,6
851;Rio de Janeiro;0107012 ESCOLA MUNICIPAL GONZAGA DA GAMA FILHO;false;false;false;false;true;true;false;true;false;true;true;0;33066272;Municipal;4,8
852;Rio de Janeiro;0107005 ESCOLA MUNICIPAL JOAO DE CAMARGO; true;false; true;false;true;true;false;true;false;true;false;0;33066299;Municipal;6,2
853;Rio de Janeiro;0107006 ESCOLA MUNICIPAL MARECHAL TROMPOWSKY;false;false; true;false;false;true;false;true;true;false;false;0;33066310;Municipal;5
854;Rio de Janeiro;0107502 ESCOLA MUNICIPAL MESTRE WALDEMIRO; true;false; true;false;false;true;false;true;false;false;false;0;33066329;Municipal;5
855;Rio de Janeiro;0208502 CIEP DOUTOR ANTOINE MAGARINOS TORRES FILHO;false;false; true;false;true;true;false;true;false;true;true;0;33066507;Estadual;5
856;Rio de Janeiro;0208501 CIEP SAMUEL WAINER; true;false; true;false;true;true;true;true;false;false;false;0;33066515;Estadual;5,3
857;Rio de Janeiro;0208008 ESCOLA MUNICIPAL ALMIRANTE BARROSO;false;false;false;false;true;true;false;true;false;false;false;0;33066965;Municipal;5,5
858;Rio de Janeiro;0208017 ESCOLA MUNICIPAL ARAUJO PORTO ALEGRE;false;false;false;false;false;true;false;true;false;true;false;0;33066973;Municipal;4,6
859;Rio de Janeiro;0208007 ESCOLA MUNICIPAL BARAO DE ITACURUSSA;false;false;false;false;false;true;false;true;false;true;true;0;33066981;Municipal;6,1
860;Rio de Janeiro;0209001 ESCOLA MUNICIPAL BENEDITO OTTONI;false;false; true;false;true;true;true;true;false;true;true;0;33066990;Municipal;6,2
861;Rio de Janeiro;0208020 ESCOLA MUNICIPAL DIOGO FEIJO; true;false;false;false;false;true;false;true;false;true;false;0;33067040;Municipal;7,1
862;Rio de Janeiro;0208009 ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO; true;false;false;false;true;false;false;true;false;false;false;0;33067074;Municipal;5,6
863;Rio de Janeiro;0208011 ESCOLA MUNICIPAL JORNALISTA BRITO BROCA;false;false; true;false;false;true;false;true;true;true;true;0;33067112;Municipal;4,2
864;Rio de Janeiro;0208021 ESCOLA MUNICIPAL MARIO FACCINI;false;false;false;false;false;true;false;true;false;true;true;0;33067163;Municipal;5,7
865;Rio de Janeiro;0208018 ESCOLA MUNICIPAL MENEZES VIEIRA; true;false; true;false;false;true;false;true;false;true;true;0;33067171;Municipal;5,5
866;Rio de Janeiro;0208006 ESCOLA MUNICIPAL PRUDENTE DE MORAES;false;false;false;false;false;true;true;true;false;false;false;0;33067198;Municipal;5,6
867;Rio de Janeiro;0208010 ESCOLA MUNICIPAL SOARES PEREIRA; true; true; true;false;true;true;true;true;false;false;false;0;33067201;Municipal;5
868;Rio de Janeiro;0209501 CIEP PRESIDENTE SALVADOR ALLENDE; true;false; true;false;false;true;false;false;false;true;true;0;33067686;Estadual;4,3
869;Rio de Janeiro;0209019 ESCOLA MUNICIPAL AFRANIO PEIXOTO; true;false;false;false;false;true;false;true;false;false;false;0;33068216;Municipal;6,5
870;Rio de Janeiro;0209017 ESCOLA MUNICIPAL BAPTISTA PEREIRA; true; true; true;false;false;true;false;true;false;false;false;0;33068224;Municipal;6,2
871;Rio de Janeiro;0209005 ESCOLA MUNICIPAL BARAO HOMEM DE MELLO;false;false;false;false;false;true;false;true;false;false;false;0;33068232;Municipal;6,7
872;Rio de Janeiro;0209010 ESCOLA MUNICIPAL EQUADOR; true; true; true;false;true;true;false;true;false;false;false;0;33068267;Municipal;5,1
874;Rio de Janeiro;0208016 ESCOLA MUNICIPAL LEITAO DA CUNHA;false;false;false;false;false;true;false;true;false;false;false;0;33068321;Municipal;6,9
875;Rio de Janeiro;0209012 ESCOLA MUNICIPAL MARIO DE ANDRADE; true;false; true;false;false;true;false;true;false;true;true;0;33068348;Municipal;5,1
876;Rio de Janeiro;0209023 ESCOLA MUNICIPAL PANAMA;false;false; true;false;false;true;false;true;false;false;true;0;33068364;Municipal;5,7
